iter	Passed	Remaining
0	0	49
1	0	42
2	1	38
3	1	36
4	1	36
5	2	35
6	2	35
7	2	34
8	3	33
9	3	32
10	3	32
11	4	31
12	4	31
13	5	30
14	5	30
15	5	29
16	5	29
17	6	28
18	6	28
19	6	27
20	7	27
21	7	27
22	7	26
23	8	26
24	8	26
25	9	25
26	9	25
27	9	24
28	10	24
29	10	24
30	10	23
31	11	23
32	11	23
33	11	22
34	12	22
35	12	22
36	12	21
37	13	21
38	13	21
39	13	20
40	14	20
41	14	19
42	14	19
43	14	19
44	15	18
45	15	18
46	15	17
47	16	17
48	16	17
49	16	16
50	17	16
51	17	16
52	17	15
53	18	15
54	18	15
55	18	14
56	19	14
57	19	14
58	19	13
59	20	13
60	20	13
61	20	12
62	21	12
63	21	12
64	21	11
65	22	11
66	22	11
67	22	10
68	23	10
69	23	10
70	23	9
71	24	9
72	24	9
73	24	8
74	25	8
75	25	8
76	25	7
77	26	7
78	26	7
79	26	6
80	27	6
81	27	6
82	27	5
83	28	5
84	28	5
85	28	4
86	29	4
87	29	4
88	29	3
89	30	3
90	30	3
91	30	2
92	31	2
93	31	2
94	31	1
95	32	1
96	32	1
97	32	0
98	33	0
99	33	0
