iter	Passed	Remaining
0	1	1227
1	1	983
2	2	881
3	3	818
4	3	782
5	4	763
6	5	737
7	5	711
8	6	708
9	7	698
10	7	682
11	8	672
12	8	664
13	9	657
14	9	655
15	10	653
16	11	650
17	11	647
18	12	647
19	13	646
20	13	648
21	14	650
22	15	654
23	16	652
24	16	654
25	17	662
26	18	659
27	18	658
28	19	656
29	20	653
30	20	649
31	21	644
32	21	643
33	22	638
34	23	634
35	23	632
36	24	631
37	24	628
38	25	626
39	25	622
40	26	621
41	27	619
42	27	617
43	28	616
44	28	615
45	29	617
46	30	616
47	31	617
48	31	620
49	32	619
50	33	616
51	33	613
52	34	611
53	34	609
54	35	607
55	35	605
56	36	603
57	37	601
58	37	599
59	38	598
60	38	597
61	39	597
62	40	600
63	41	599
64	41	601
65	43	614
66	44	614
67	44	616
68	45	618
69	46	616
70	47	619
71	47	618
72	48	616
73	49	614
74	49	612
75	50	610
76	50	608
77	51	606
78	52	615
79	53	614
80	54	613
81	54	612
82	55	609
83	55	608
84	56	608
85	57	614
86	59	620
87	59	620
88	60	618
89	61	618
90	61	618
91	62	616
92	63	615
93	63	614
94	64	613
95	64	611
96	65	611
97	67	619
98	68	619
99	68	618
100	69	617
101	69	615
102	70	613
103	71	612
104	71	610
105	72	611
106	74	618
107	75	620
108	75	620
109	76	619
110	77	617
111	77	616
112	78	614
113	78	612
114	79	611
115	80	609
116	80	608
117	81	606
118	81	604
119	82	603
120	82	602
121	83	600
122	83	598
123	84	597
124	85	596
125	85	595
126	87	599
127	88	600
128	88	600
129	90	602
130	90	601
131	91	600
132	91	598
133	92	597
134	92	595
135	93	594
136	94	594
137	95	593
138	95	592
139	96	590
140	96	589
141	97	586
142	97	585
143	98	583
144	98	582
145	99	581
146	100	580
147	100	579
148	102	585
149	103	586
150	104	585
151	104	585
152	105	583
153	106	582
154	106	581
155	107	580
156	108	579
157	108	579
158	109	577
159	109	576
160	110	574
161	110	572
162	111	571
163	111	569
164	112	568
165	113	567
166	113	566
167	114	565
168	114	564
169	115	563
170	117	567
171	118	568
172	118	567
173	119	566
174	119	565
175	120	564
176	121	563
177	121	562
178	122	561
179	122	560
180	123	558
181	124	557
182	124	556
183	125	555
184	125	554
185	126	552
186	126	551
187	127	550
188	128	549
189	128	548
190	129	547
191	129	546
192	131	547
193	131	547
194	132	547
195	133	546
196	133	545
197	134	544
198	135	544
199	135	542
200	136	541
201	136	540
202	137	539
203	137	538
204	138	536
205	138	535
206	139	534
207	140	533
208	140	531
209	141	531
210	141	530
211	142	529
212	143	528
213	143	527
214	144	526
215	144	525
216	145	525
217	146	524
218	146	523
219	147	522
220	148	522
221	148	521
222	149	520
223	149	519
224	150	518
225	151	517
